Date,Infected,Recovered,Dead
1/22/2020,443,27,16
1/23/2020,444,28,17
1/24/2020,549,31,24
1/25/2020,761,32,40
1/26/2020,1058,42,52
1/27/2020,1423,45,76
1/28/2020,3554,80,125
1/29/2020,3554,88,125
1/30/2020,4903,90,162
1/31/2020,5806,141,204
2/1/2020,7153,168,249
2/2/2020,11177,295,350
2/3/2020,13522,386,414
2/4/2020,16678,522,479
2/5/2020,19665,633,549
2/6/2020,22112,817,618
2/7/2020,24953,1115,699
2/8/2020,27100,1439,780
2/9/2020,29631,1795,871
2/10/2020,31728,2222,974
2/11/2020,33366,2639,1068
2/12/2020,33366,2686,1068
2/13/2020,48206,3459,1310
2/14/2020,54406,4774,1457
2/15/2020,56249,5623,1596
2/16/2020,58182,6639,1696
2/17/2020,59989,7862,1789
2/18/2020,61682,9128,1921
2/19/2020,62031,10337,2029
2/20/2020,62442,11788,2144
2/21/2020,62662,11881,2144
2/22/2020,64084,15299,2346
2/23/2020,64084,15343,2346
2/24/2020,64287,16748,2495
2/25/2020,64786,18971,2563
2/26/2020,65187,20969,2615
2/27/2020,65596,23383,2641
2/28/2020,65914,26403,2682
2/29/2020,66337,28993,2727
3/1/2020,66907,31536,2761
3/2/2020,67103,33934,2803
3/3/2020,67217,36208,2835
3/4/2020,67332,38557,2871
3/5/2020,67466,40592,2902
3/6/2020,67592,42033,2931
3/7/2020,67666,43500,2959
3/8/2020,67707,45235,2986
3/9/2020,67743,46488,3008
3/10/2020,67760,47743,3024
3/11/2020,67773,49134,3046
3/12/2020,67781,50318,3056
3/13/2020,67786,51553,3062
3/14/2020,67790,52960,3075
3/15/2020,67794,54288,3085
3/16/2020,67798,55142,3099
3/17/2020,67799,56003,3111
3/18/2020,67800,56927,3122
3/19/2020,67800,57682,3130
3/20/2020,67800,58382,3133
3/21/2020,67800,58946,3139
3/22/2020,67800,59433,3153
3/23/2020,67800,59879,3153
3/24/2020,67801,60324,3160
3/25/2020,67801,60811,3163
3/26/2020,67801,61201,3169
3/27/2020,67801,61732,3174
