DT,Kasus (Kumulatif),Kasus Baru,Sembuh (baru),Meninggal (baru),ARecovered,Adeath
2020-03-02,2,2,0,0,0,0
2020-03-03,2,0,0,0,0,0
2020-03-04,2,0,0,0,0,0
2020-03-05,2,0,0,0,0,0
2020-03-06,4,2,0,0,0,0
2020-03-07,4,0,0,0,0,0
2020-03-08,6,2,0,0,0,0
2020-03-09,19,13,0,0,0,0
2020-03-10,27,8,0,0,0,0
2020-03-11,34,7,2,2,2,2
2020-03-12,34,0,1,2,3,4
2020-03-13,69,35,2,0,5,4
2020-03-14,96,27,3,1,8,5
2020-03-15,117,21,0,0,8,5
2020-03-16,134,17,0,0,8,5
2020-03-17,172,38,1,2,9,7
2020-03-18,227,55,2,12,11,19
2020-03-19,309,82,4,6,15,25
2020-03-20,369,60,1,7,16,32
2020-03-21,450,81,4,6,20,38
2020-03-22,514,64,9,10,29,48
2020-03-23,579,65,1,1,30,49
2020-03-24,685,106,0,6,30,55
2020-03-25,790,105,1,3,31,58
2020-03-26,893,103,4,20,35,78
2020-03-27,1046,153,11,9,46,87
2020-03-28,1155,109,13,15,59,102
2020-03-29,1285,130,5,12,64,114
2020-03-30,1414,129,11,8,75,122
2020-03-31,1528,114,6,14,81,136
