sort,Country/Region,Date,Confirmed,Recovered,Death,Sum
1,Germany,3/1/2020,130,16,0,146
2,Germany,3/2/2020,159,16,0,175
3,Germany,3/3/2020,196,16,0,212
4,Germany,3/4/2020,262,16,0,278
5,Germany,3/5/2020,482,16,0,498
6,Germany,3/6/2020,670,17,0,687
7,Germany,3/7/2020,799,18,0,817
8,Germany,3/8/2020,1040,18,0,1058
9,Germany,3/9/2020,1176,18,2,1196
10,Germany,3/10/2020,1457,18,2,1477
11,Germany,3/11/2020,1908,25,3,1936
12,Germany,3/12/2020,2078,25,3,2106
13,Germany,3/13/2020,3675,46,7,3728
14,Germany,3/14/2020,4585,46,9,4640
15,Germany,3/15/2020,5795,46,11,5852
16,Germany,3/16/2020,7272,67,17,7356
17,Germany,3/17/2020,9257,67,24,9348
18,Germany,3/18/2020,12327,105,28,12460
19,Germany,3/19/2020,15320,113,44,15477
20,Germany,3/20/2020,19848,180,67,20095
21,Germany,3/21/2020,22213,233,84,22530
22,Germany,3/22/2020,24873,266,94,25233
23,Germany,3/23/2020,29056,266,123,29445
24,Germany,3/24/2020,32986,3243,157,36386
25,Germany,3/25/2020,37323,3547,206,41076
26,Germany,3/26/2020,43938,5673,267,49878
27,Germany,3/27/2020,50871,6658,342,57871
28,Germany,3/28/2020,57695,8481,433,66609
29,Germany,3/29/2020,62095,9211,533,71839
30,Germany,3/30/2020,66885,13500,645,81030
31,Germany,3/31/2020,71808,16100,775,88683
32,Germany,4/1/2020,77872,18700,920,97492
33,Germany,4/2/2020,84794,22440,1107,108341
34,Germany,4/3/2020,91159,24575,1275,117009
35,Germany,4/4/2020,96092,26400,1444,123936
36,Germany,4/5/2020,100123,28700,1584,130407
37,Germany,4/6/2020,103374,28700,1810,133884
38,Germany,4/7/2020,107663,36081,2016,145760
39,Germany,4/8/2020,113296,46300,2349,161945
40,Germany,4/9/2020,118181,52407,2607,173195
41,Germany,4/10/2020,122171,53913,2767,178851
42,Germany,4/11/2020,124908,57400,2736,185044
43,Germany,4/12/2020,127854,60300,3022,191176
44,Germany,4/13/2020,130072,64300,3194,197566
45,Germany,4/14/2020,131359,68200,3294,202853
46,Germany,4/15/2020,134753,72600,3804,211157
47,Germany,4/16/2020,137698,77000,4052,218750
48,Germany,4/17/2020,141397,83114,4352,228863
49,Germany,4/18/2020,143342,85400,4459,233201
50,Germany,4/19/2020,145184,88000,4586,237770
51,Germany,4/20/2020,147065,91500,4862,243427
52,Germany,4/21/2020,148291,95200,5033,248524
53,Germany,4/22/2020,150648,99400,5279,255327
54,Germany,4/23/2020,153129,103300,5575,262004
55,Germany,4/24/2020,154999,109800,5760,270559
56,Germany,4/25/2020,156513,109800,5877,272190
57,Germany,4/26/2020,157770,112000,5976,275746
58,Germany,4/27/2020,158758,114500,6126,279384
59,Germany,4/28/2020,159912,117400,6314,283626
60,Germany,4/29/2020,161539,120400,6467,288406
61,Germany,4/30/2020,163009,123500,6623,293132
62,Germany,5/1/2020,164077,126900,6736,297713
63,Germany,5/2/2020,164967,129000,6812,300779
64,Germany,5/3/2020,165664,130600,6866,303130
