SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
14,1/22/2020,Hubei,Mainland China,1/22/2020 17:00,444,17,28
52,1/23/2020,Hubei,Mainland China,1/23/2020 17:00,444,17,28
85,1/24/2020,Hubei,Mainland China,1/24/2020 17:00,549,24,31
126,1/25/2020,Hubei,Mainland China,1/25/2020 17:00,761,40,32
170,1/26/2020,Hubei,Mainland China,1/26/2020 16:00,1058,52,42
217,1/27/2020,Hubei,Mainland China,1/27/2020 23:59,1423,76,45
268,1/28/2020,Hubei,Mainland China,1/28/2020 23:00,3554,125,80
320,1/29/2020,Hubei,Mainland China,1/29/2020 19:30,3554,125,88
374,1/30/2020,Hubei,Mainland China,1/30/2020 16:00,4903,162,90
432,1/31/2020,Hubei,Mainland China,1/31/2020 23:59,5806,204,141
494,2/1/2020,Hubei,Mainland China,2/1/2020 11:53,7153,249,168
561,2/2/2020,Hubei,Mainland China,2020-02-02T23:43:02,11177,350,295
628,2/3/2020,Hubei,Mainland China,2020-02-03T23:23:03,13522,414,386
696,2/4/2020,Hubei,Mainland China,2020-02-04T23:43:01,16678,479,522
766,2/5/2020,Hubei,Mainland China,2020-02-05T23:13:12,19665,549,633
837,2/6/2020,Hubei,Mainland China,2020-02-06T23:23:02,22112,618,817
908,2/7/2020,Hubei,Mainland China,2020-02-07T23:43:02,24953,699,1115
980,2/8/2020,Hubei,Mainland China,2020-02-08T23:33:06,27100,780,1439
1052,2/9/2020,Hubei,Mainland China,2020-02-09T23:33:02,29631,871,1795
1124,2/10/2020,Hubei,Mainland China,2020-02-10T23:33:02,31728,974,2222
1196,2/11/2020,Hubei,Mainland China,2020-02-11T23:33:02,33366,1068,2639
1269,2/12/2020,Hubei,Mainland China,2020-02-12T14:13:08,33366,1068,2686
1342,2/13/2020,Hubei,Mainland China,2020-02-13T14:13:06,48206,1310,3459
1416,2/14/2020,Hubei,Mainland China,2020-02-14T23:33:02,54406,1457,4774
1491,2/15/2020,Hubei,Mainland China,2020-02-15T23:13:05,56249,1596,5623
1566,2/16/2020,Hubei,Mainland China,2020-02-16T23:53:01,58182,1696,6639
1641,2/17/2020,Hubei,Mainland China,2020-02-17T23:13:06,59989,1789,7862
1716,2/18/2020,Hubei,Mainland China,2020-02-18T23:13:11,61682,1921,9128
1791,2/19/2020,Hubei,Mainland China,2020-02-19T23:23:02,62031,2029,10337
1867,2/20/2020,Hubei,Mainland China,2020-02-20T23:43:02,62442,2144,11788
1943,2/21/2020,Hubei,Mainland China,2020-02-21T13:03:09,62662,2144,11881
2027,2/22/2020,Hubei,Mainland China,2020-02-22T23:33:06,64084,2346,15299
2111,2/23/2020,Hubei,Mainland China,2020-02-23T11:33:03,64084,2346,15343
2196,2/24/2020,Hubei,Mainland China,2020-02-24T11:13:09,64287,2495,16748
2286,2/25/2020,Hubei,Mainland China,2020-02-25T15:23:04,64786,2563,18971
2380,2/26/2020,Hubei,Mainland China,2020-02-26T14:13:10,65187,2615,20969
2481,2/27/2020,Hubei,Mainland China,2020-02-27T12:13:14,65596,2641,23383
2586,2/28/2020,Hubei,Mainland China,2020-02-28T00:43:01,65914,2682,26403
2700,2/29/2020,Hubei,Mainland China,2020-02-29T12:13:10,66337,2727,28993
2819,3/1/2020,Hubei,Mainland China,2020-03-01T10:13:19,66907,2761,31536
2944,3/2/2020,Hubei,Mainland China,2020-03-02T15:03:23,67103,2803,33934
3085,3/3/2020,Hubei,Mainland China,2020-03-03T11:43:02,67217,2835,36208
3236,3/4/2020,Hubei,Mainland China,2020-03-04T12:53:03,67332,2871,38557
3396,3/5/2020,Hubei,Mainland China,2020-03-05T14:53:03,67466,2902,40592
3569,3/6/2020,Hubei,Mainland China,2020-03-06T14:23:04,67592,2931,42033
3768,3/7/2020,Hubei,Mainland China,2020-03-07T11:13:04,67666,2959,43500
3993,3/8/2020,Hubei,Mainland China,2020-03-08T14:43:03,67707,2986,45235
4248,3/9/2020,Hubei,Mainland China,2020-03-09T14:33:03,67743,3008,46488
4514,3/10/2020,Hubei,Mainland China,2020-03-10T15:13:05,67760,3024,47743
4720,3/11/2020,Hubei,Mainland China,2020-03-11T10:53:02,67773,3046,49134
4936,3/12/2020,Hubei,Mainland China,2020-03-12T09:53:06,67781,3056,50318
5154,3/13/2020,Hubei,Mainland China,2020-03-13T11:09:03,67786,3062,51553
5384,3/14/2020,Hubei,Mainland China,2020-03-14T10:13:09,67790,3075,52960
5633,3/15/2020,Hubei,Mainland China,2020-03-15T18:20:18,67794,3085,54288
5891,3/16/2020,Hubei,Mainland China,2020-03-16T14:38:45,67798,3099,55142
6163,3/17/2020,Hubei,Mainland China,2020-03-17T11:53:10,67799,3111,56003
6439,3/18/2020,Hubei,Mainland China,2020-03-18T12:13:09,67800,3122,56927
6723,3/19/2020,Hubei,Mainland China,2020-03-19T10:13:14,67800,3130,57682
7015,3/20/2020,Hubei,Mainland China,2020-03-20T07:43:02,67800,3133,58382
7314,3/21/2020,Hubei,Mainland China,2020-03-21T10:13:08,67800,3139,58946
7827,3/22/2020,Hubei,Mainland China,3/8/2020 5:31,67800,3144,59433
8124,3/23/2020,Hubei,Mainland China,3/23/2020 23:23,67800,3153,59882
8421,3/24/2020,Hubei,Mainland China,3/24/2020 23:41,67801,3160,60324
8724,3/25/2020,Hubei,Mainland China,3/25/2020 23:37,67801,3163,60811
9028,3/26/2020,Hubei,Mainland China,3/26/2020 23:53,67801,3169,61201
9335,3/27/2020,Hubei,Mainland China,3/27/2020 23:27,67801,3174,61732
