SNo,ObservationDate,Region,Country/Region,Confirmed,Deaths,Recovered,Active
1,1/27/2020,Germany,Germany,1,0,0,1
2,1/28/2020,Germany,Germany,4,0,0,4
3,1/29/2020,Germany,Germany,4,0,0,4
4,1/30/2020,Germany,Germany,4,0,0,4
5,1/31/2020,Germany,Germany,5,0,0,5
6,2/1/2020,Germany,Germany,8,0,0,8
7,2/2/2020,Germany,Germany,10,0,0,10
8,2/3/2020,Germany,Germany,12,0,0,12
9,2/4/2020,Germany,Germany,12,0,0,12
10,2/5/2020,Germany,Germany,12,0,0,12
11,2/6/2020,Germany,Germany,12,0,0,12
12,2/7/2020,Germany,Germany,13,0,0,13
13,2/8/2020,Germany,Germany,13,0,0,13
14,2/9/2020,Germany,Germany,14,0,0,14
15,2/10/2020,Germany,Germany,14,0,0,14
16,2/11/2020,Germany,Germany,16,0,0,16
17,2/12/2020,Germany,Germany,16,0,0,16
18,2/13/2020,Germany,Germany,16,0,1,15
19,2/14/2020,Germany,Germany,16,0,1,15
20,2/15/2020,Germany,Germany,16,0,1,15
21,2/16/2020,Germany,Germany,16,0,1,15
22,2/17/2020,Germany,Germany,16,0,1,15
23,2/18/2020,Germany,Germany,16,0,12,4
24,2/19/2020,Germany,Germany,16,0,12,4
25,2/20/2020,Germany,Germany,16,0,12,4
26,2/21/2020,Germany,Germany,16,0,14,2
27,2/22/2020,Germany,Germany,16,0,14,2
28,2/23/2020,Germany,Germany,16,0,14,2
29,2/24/2020,Germany,Germany,16,0,14,2
30,2/25/2020,Germany,Germany,17,0,14,3
31,2/26/2020,Germany,Germany,27,0,15,12
32,2/27/2020,Germany,Germany,46,0,16,30
33,2/28/2020,Germany,Germany,48,0,16,32
34,2/29/2020,Germany,Germany,79,0,16,63
35,3/1/2020,Germany,Germany,130,0,16,114
36,3/2/2020,Germany,Germany,159,0,16,143
37,3/3/2020,Germany,Germany,196,0,16,180
38,3/4/2020,Germany,Germany,262,0,16,246
39,3/5/2020,Germany,Germany,482,0,16,466
40,3/6/2020,Germany,Germany,670,0,17,653
41,3/7/2020,Germany,Germany,799,0,18,781
42,3/8/2020,Germany,Germany,1040,0,18,1022
43,3/9/2020,Germany,Germany,1176,2,18,1156
44,3/10/2020,Germany,Germany,1457,2,18,1437
45,3/11/2020,Germany,Germany,1908,3,25,1880
46,3/12/2020,Germany,Germany,2078,3,25,2050
47,3/13/2020,Germany,Germany,3675,7,46,3622
48,3/14/2020,Germany,Germany,4585,9,46,4530
49,3/15/2020,Germany,Germany,5795,11,46,5738
50,3/16/2020,Germany,Germany,7272,17,67,7188
51,3/17/2020,Germany,Germany,9257,24,67,9166
52,3/18/2020,Germany,Germany,12327,28,105,12194
53,3/19/2020,Germany,Germany,15320,44,113,15163
54,3/20/2020,Germany,Germany,19848,67,180,19601
55,3/21/2020,Germany,Germany,22213,84,233,21896
56,3/22/2020,Germany,Germany,24873,94,266,24513
57,3/23/2020,Germany,Germany,29056,123,266,28667
58,3/24/2020,Germany,Germany,32986,157,3243,29586
59,3/25/2020,Germany,Germany,37323,206,3547,33570
60,3/26/2020,Germany,Germany,43938,267,5673,37998
61,3/27/2020,Germany,Germany,50871,342,6658,43871
62,3/28/2020,Germany,Germany,57695,433,8481,48781
63,3/29/2020,Germany,Germany,62095,533,9211,52351
64,3/30/2020,Germany,Germany,66885,645,13500,52740
65,3/31/2020,Germany,Germany,71808,775,16100,54933
66,4/1/2020,Germany,Germany,77872,920,18700,58252
67,4/2/2020,Germany,Germany,84794,1107,22440,61247
68,4/3/2020,Germany,Germany,91159,1275,24575,65309
69,4/4/2020,Germany,Germany,96092,1444,26400,68248
70,4/5/2020,Germany,Germany,100123,1584,28700,69839
71,4/6/2020,Germany,Germany,103374,1810,28700,72864
72,4/7/2020,Germany,Germany,107663,2016,36081,69566
