DATE,Confirmed,New_Confirmed,New_Recovered,New_Deaths,Recovered,Deaths,Active
2020-01-22,444,444,28,17,28,17,399
2020-01-23,444,0,0,0,28,17,399
2020-01-24,549,105,3,7,31,24,494
2020-01-25,761,212,1,16,32,40,689
2020-01-26,1058,297,10,12,42,52,964
2020-01-27,1423,365,3,24,45,76,1302
2020-01-28,3554,2131,35,49,80,125,3349
2020-01-29,3554,0,8,0,88,125,3341
2020-01-30,4903,1349,2,37,90,162,4651
2020-01-31,5806,903,51,42,141,204,5461
2020-02-01,7153,1347,27,45,168,249,6736
2020-02-02,11177,4024,127,101,295,350,10532
2020-02-03,13522,2345,91,64,386,414,12722
2020-02-04,16678,3156,136,65,522,479,15677
2020-02-05,19665,2987,111,70,633,549,18483
2020-02-06,22112,2447,184,69,817,618,20677
2020-02-07,24953,2841,298,81,1115,699,23139
2020-02-08,27100,2147,324,81,1439,780,24881
2020-02-09,29631,2531,356,91,1795,871,26965
2020-02-10,31728,2097,427,103,2222,974,28532
2020-02-11,33366,1638,417,94,2639,1068,29659
2020-02-12,33366,0,47,0,2686,1068,29612
2020-02-13,48206,14840,773,242,3459,1310,43437
2020-02-14,54406,6200,1315,147,4774,1457,48175
2020-02-15,56249,1843,849,139,5623,1596,49030
2020-02-16,58182,1933,1016,100,6639,1696,49847
2020-02-17,59989,1807,1223,93,7862,1789,50338
2020-02-18,61682,1693,1266,132,9128,1921,50633
2020-02-19,62031,349,1209,108,10337,2029,49665
2020-02-20,62442,411,1451,115,11788,2144,48510
2020-02-21,62662,220,93,0,11881,2144,48637
2020-02-22,64084,1422,3418,202,15299,2346,46439
2020-02-23,64084,0,44,0,15343,2346,46395
2020-02-24,64287,203,1405,149,16748,2495,45044
2020-02-25,64786,499,2223,68,18971,2563,43252
2020-02-26,65187,401,1998,52,20969,2615,41603
2020-02-27,65596,409,2414,26,23383,2641,39572
2020-02-28,65914,318,3020,41,26403,2682,36829
2020-02-29,66337,423,2590,45,28993,2727,34617
2020-03-01,66907,570,2543,34,31536,2761,32610
2020-03-02,67103,196,2398,42,33934,2803,30366
2020-03-03,67217,114,2274,32,36208,2835,28174
2020-03-04,67332,115,2349,36,38557,2871,25904
2020-03-05,67466,134,2035,31,40592,2902,23972
2020-03-06,67592,126,1441,29,42033,2931,22628
2020-03-07,67666,74,1467,28,43500,2959,21207
2020-03-08,67707,41,1735,27,45235,2986,19486
2020-03-09,67743,36,1253,22,46488,3008,18247
2020-03-10,67760,17,1255,16,47743,3024,16993
2020-03-11,67773,13,1391,22,49134,3046,15593
2020-03-12,67781,8,1184,10,50318,3056,14407
2020-03-13,67786,5,1235,6,51553,3062,13171
2020-03-14,67790,4,1407,13,52960,3075,11755
2020-03-15,67794,4,1328,10,54288,3085,10421
2020-03-16,67798,4,854,14,55142,3099,9557
2020-03-17,67799,1,861,12,56003,3111,8685
2020-03-18,67800,1,924,11,56927,3122,7751
2020-03-19,67800,0,755,8,57682,3130,6988
2020-03-20,67800,0,700,3,58382,3133,6285
2020-03-21,67800,0,564,6,58946,3139,5715
2020-03-22,67800,0,487,14,59433,3153,5214
2020-03-23,67800,0,446,0,59879,3153,4768
2020-03-24,67801,1,445,7,60324,3160,4317
2020-03-25,67801,0,487,3,60811,3163,3827
2020-03-26,67801,0,390,6,61201,3169,3431
2020-03-27,67801,0,531,5,61732,3174,2895
2020-03-28,67801,0,366,3,62098,3177,2526
2020-03-29,67801,0,472,5,62570,3182,2049
2020-03-30,67801,0,319,4,62889,3186,1726
2020-03-31,67801,0,264,1,63153,3187,1461
2020-04-01,67802,1,173,6,63326,3193,1283
2020-04-02,67802,0,145,6,63471,3199,1132
2020-04-03,67802,0,141,4,63612,3203,987
2020-04-04,67803,1,150,4,63762,3207,834
2020-04-05,67803,0,183,3,63945,3210,648
2020-04-06,67803,0,69,2,64014,3212,577
2020-04-07,67803,0,59,0,64073,3212,518
2020-04-08,67803,0,69,1,64142,3213,448
2020-04-09,67803,0,45,2,64187,3215,401
2020-04-10,67803,0,49,1,64236,3216,351
2020-04-11,67803,0,28,3,64264,3219,320
2020-04-12,67803,0,17,0,64281,3219,303
2020-04-13,67803,0,57,2,64338,3221,244
2020-04-14,67803,0,25,0,64363,3221,219
2020-04-15,67803,0,39,1,64402,3222,179
2020-04-16,67803,0,33,0,64435,3222,146
2020-04-17,68128,325,-948,1290,63487,4512,129
2020-04-18,68128,0,7,0,63494,4512,122
2020-04-19,68128,0,13,0,63507,4512,109
2020-04-20,68128,0,4,0,63511,4512,105
2020-04-21,68128,0,3,0,63514,4512,102
