OBJECTID_1,LAN_ew_AGS,LAN_ew_GEN,LAN_ew_BEZ,LAN_ew_EWZ,OBJECTID,Fallzahl,Aktualisierung,AGS_TXT,GlobalID,faelle_100000_EW,Death,SHAPE_Length,SHAPE_Area
1,01,Schleswig-Holstein,Land,2896712,15,3278,2020/07/21 21:59:59,01,{FC5BA936-C95C-432C-8A33-9EB2F30B660F},113.162785944892,155,20.9191264620575,2.15954567681771
2,02,Hamburg,Freie und Hansestadt,1841179,6,5244,2020/07/21 21:59:59,02,{0F3E860C-5181-4D3F-A421-1D51F50315EA},284.817500090974,261,3.10951982826658,0.10017859908052
3,03,Niedersachsen,Land,7982448,9,14101,2020/07/21 21:59:59,03,{3FD77024-C29B-4843-9BE8-682AD48E60C9},176.650070254138,647,29.8156067697764,6.34547245881216
4,04,Bremen,Freie Hansestadt,682986,5,1725,2020/07/21 21:59:59,04,{4132268B-54DE-4327-AC1E-760E915112F1},252.567402552907,55,2.4434099165342,0.0540986322033472
5,05,Nordrhein-Westfalen,Land,17932651,10,46367,2020/07/21 21:59:59,05,{561D658F-3EE5-46E3-BC95-3528C6558AB9},258.561882456754,1717,19.7250153818911,4.413413308508
6,06,Hessen,Land,6265809,7,11458,2020/07/21 21:59:59,06,{93277AC4-E8FC-48C7-8940-028DC2ED66AF},182.865452809047,515,15.9178246133033,2.68129889446109
7,07,Rheinland-Pfalz,Land,4084844,11,7346,2020/07/21 21:59:59,07,{E9B4296F-9BE2-4E53-9A58-CCF1396CB03D},179.835509018215,238,13.1938203642167,2.48562050756341
8,08,Baden-Württemberg,Land,11069533,1,36556,2020/07/21 21:59:59,08,{80394DDF-C6A4-4A6E-BE8E-0259A81B22A9},330.23976711574,1838,18.9961731044424,4.35421266002989
9,09,Bayern,Freistaat,13076721,2,49954,2020/07/21 21:59:59,09,{1FF920F4-62CD-4A4F-B8C9-F042F2A3E00A},382.007079603518,2617,29.2832556594748,8.66111920110973
10,10,Saarland,Land,990509,12,2835,2020/07/21 21:59:59,10,{E3396A6F-8A30-4FDF-8DF7-DEF77DD38BEA},286.216480617541,174,4.22859886627026,0.3183791139877
11,11,Berlin,Land,3644826,3,8837,2020/07/21 21:59:59,11,{C7033073-2BB0-486B-97AF-5B3C639E7219},242.453274861406,222,2.68122936739323,0.11801687170816
12,12,Brandenburg,Land,2511917,4,3497,2020/07/21 21:59:59,12,{B560AF89-5895-4BE4-96F8-0F581CD8A858},139.216383343876,167,18.8795052312507,3.92195584983268
13,13,Mecklenburg-Vorpommern,Land,1609675,8,811,2020/07/21 21:59:59,13,{A27F5628-E790-45BE-898D-F0A6841C0F7E},50.3828412567754,20,30.0401103158293,3.1428121816959
14,14,Sachsen,Freistaat,4077937,13,5503,2020/07/21 21:59:59,14,{256D2405-A7C8-4FEC-93DF-29F3C808CD25},134.945684545887,225,15.2497070411544,2.36506980586789
15,15,Sachsen-Anhalt,Land,2208321,14,1961,2020/07/21 21:59:59,15,{66106BBE-F04B-4F92-80E1-5B5B30DA25B5},88.8004959423924,62,14.2172902910093,2.69041636236946
16,16,Thüringen,Freistaat,2143145,16,3326,2020/07/21 21:59:59,16,{3A3E2817-BB19-4F8C-8BCA-D8FF591140D4},155.192485809406,182,15.0324529635839,2.07032354616438
